plot number,plot,date,treatment,field,predator,scavenger,herbivore,scavengernoants,percentpred,percentscav,percentherb,antcolony
20,20J,9/21/16,both,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
21,21J,7/20/16,control,toussaint,2,1,0,1,0.666666667,0.333333333,0,0
21,21J,7/27/16,control,toussaint,0,2,2,2,0,0.5,0.5,0
21,21J,8/3/16,control,toussaint,2,2,1,1,0.5,0.25,0.25,0
21,21J,9/21/16,control,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
22,22J,7/20/16,corn,toussaint,1,3,0,3,0.25,0.75,0,0
22,22J,7/27/16,corn,toussaint,5,0,1,0,0.833333333,0,0.166666667,0
22,22J,8/3/16,corn,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
22,22J,9/21/16,corn,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
23,23J,7/20/16,na,toussaint,2,0,1,0,0.666666667,0,0.333333333,0
23,23J,7/27/16,na,toussaint,4,1,3,1,0.5,0.125,0.375,0
23,23J,8/3/16,na,toussaint,4,0,0,0,1,0,0,0
23,23J,9/21/16,na,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
24,24J,7/20/16,both,toussaint,3,1,2,1,0.5,0.166666667,0.333333333,0
24,24J,7/27/16,both,toussaint,2,2,0,0,1,0,0,0
24,24J,8/3/16,both,toussaint,2,0,1,0,0.666666667,0,0.333333333,0
24,24J,9/21/16,both,toussaint,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
25,25J,7/20/16,control,stony.ridge,2,1,1,1,0.5,0.25,0.25,0
25,25J,7/27/16,control,stony.ridge,5,1,0,1,0.833333333,0.166666667,0,0
25,25J,8/3/16,control,stony.ridge,2,1,0,1,0.666666667,0.333333333,0,0
25,25J,9/21/16,control,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
26,26J,7/20/16,na,stony.ridge,3,8,2,8,0.230769231,0.615384615,0.153846154,0
26,26J,7/27/16,na,stony.ridge,8,2,0,2,0.8,0.2,0,0
26,26J,8/3/16,na,stony.ridge,12,2,1,2,0.8,0.133333333,0.066666667,0
26,26J,9/21/16,na,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
27,27J,7/20/16,corn,stony.ridge,3,3,1,3,0.428571429,0.428571429,0.142857143,0
27,27J,7/27/16,corn,stony.ridge,3,1,0,1,0.75,0.25,0,0
27,27J,8/3/16,corn,stony.ridge,2,3,1,3,0.333333333,0.5,0.166666667,0
27,27J,9/21/16,corn,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
28,28J,7/20/16,both,stony.ridge,5,0,1,0,0.833333333,0,0.166666667,0
28,28J,7/27/16,both,stony.ridge,6,2,0,2,0.75,0.25,0,0
28,28J,8/3/16,both,stony.ridge,2,1,1,1,0.5,0.25,0.25,0
28,28J,9/21/16,both,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
29,29J,7/20/16,control,stony.ridge,5,1,1,1,0.714285714,0.142857143,0.142857143,0
29,29J,7/27/16,control,stony.ridge,5,2,0,2,0.714285714,0.285714286,0,0
29,29J,8/3/16,control,stony.ridge,10,3,1,3,0.714285714,0.214285714,0.071428571,0
