plot number,plot,date,treatment,field,abundance,richness,abundancenoants
35,35J,8/3/16,corn,stony.ridge,8,5,8
35,35J,9/21/16,corn,stony.ridge,0,0,0
36,36J,7/20/16,both,stony.ridge,5,4,5
36,36J,7/27/16,both,stony.ridge,4,3,4
36,36J,8/3/16,both,stony.ridge,12,6,12
36,36J,9/21/16,both,stony.ridge,0,0,0
37,37J,7/20/16,control,luckey,5,5,5
37,37J,7/27/16,control,luckey,2,2,2
37,37J,8/3/16,control,luckey,9,6,9
37,37J,9/21/16,control,luckey,6,6,6
38,38J,7/20/16,na,luckey,5,3,4
38,38J,7/27/16,na,luckey,4,3,4
38,38J,8/3/16,na,luckey,12,9,12
38,38J,9/21/16,na,luckey,0,0,0
39,39J,7/20/16,corn,luckey,5,4,5
39,39J,7/27/16,corn,luckey,2,2,2
39,39J,9/21/16,corn,luckey,0,0,0
40,40J,7/20/16,both,luckey,0,0,0
40,40J,7/27/16,both,luckey,6,5,6
40,40J,8/3/16,both,luckey,11,8,11
40,40J,9/21/16,both,luckey,0,0,0
40,40J,9/21/16,both,luckey,3,3,3
41,41J,7/20/16,control,luckey,1,1,1
41,41J,7/27/16,control,luckey,8,5,7
41,41J,8/3/16,control,luckey,10,5,9
42,42J,7/20/16,na,luckey,4,3,4
42,42J,7/27/16,na,luckey,3,3,3
42,42J,8/3/16,na,luckey,6,5,6
42,42J,9/21/16,na,luckey,0,0,0
43,43J,7/20/16,corn,luckey,6,4,6
43,43J,7/27/16,corn,luckey,5,4,5
43,43J,8/3/16,corn,luckey,10,7,10
43,43J,9/21/16,corn,luckey,0,0,0
44,44J,7/20/16,both,luckey,4,3,2
44,44J,7/27/16,both,luckey,6,5,6
44,44J,8/3/16,both,luckey,14,7,14
44,44J,9/21/16,both,luckey,13,7,13
45,45J,7/20/16,control,luckey,11,8,11
45,45J,7/27/16,control,luckey,6,5,6
45,45J,8/3/16,control,luckey,7,5,7
45,45J,9/21/16,control,luckey,0,0,0
46,46J,7/20/16,na,luckey,1,1,1
46,46J,7/27/16,na,luckey,2,2,2
46,46J,8/3/16,na,luckey,8,5,8
46,46J,9/21/16,na,luckey,0,0,0
47,47J,7/20/16,corn,luckey,16,7,16
47,47J,7/27/16,corn,luckey,9,5,9
47,47J,8/3/16,corn,luckey,3,2,3
47,47J,9/21/16,corn,luckey,0,0,0
48,48J,7/20/16,both,luckey,2,2,1
48,48J,7/27/16,both,luckey,3,2,3
48,48J,8/3/16,both,luckey,17,6,17
48,48J,9/21/16,both,luckey,0,0,0
